Home,Away,Date,Hour
Ajaccio,Paris Saint Germain,21-10,19:00:00
Montpellier,Lyon,22-10,15:00:00
Marseille,Lens,22-10,19:00:00
Angers,Rennes,23-10,11:00:00
Clermont Foot,Stade Brestois 29,23-10,13:00:00
Reims,Auxerre,23-10,13:00:00
Toulouse,Strasbourg,23-10,13:00:00
Estac Troyes,Lorient,23-10,13:00:00
Nice,Nantes,23-10,15:05:00
Lille,Monaco,23-10,18:45:00
