Home,Away,Date,Hour
Werder Bremen,Hertha Berlin,28-10,18:30:00
Bayern Munich,FSV Mainz 05,29-10,13:30:00
RB Leipzig,Bayer Leverkusen,29-10,13:30:00
VfL Wolfsburg,VfL BOCHUM,29-10,13:30:00
VfB Stuttgart,FC Augsburg,29-10,13:30:00
Eintracht Frankfurt,Borussia Dortmund,29-10,16:30:00
Union Berlin,Borussia Monchengladbach,30-10,14:30:00
FC Schalke 04,SC Freiburg,30-10,16:30:00
FC Koln,1899 Hoffenheim,30-10,18:30:00
Borussia Monchengladbach,VfB Stuttgart,04-11,19:30:00
